Ref seq. name,sequence length,# of reads mapped,# of reads unmapped
OR7D2,3224,6,0
SFT2D1,2576,6,0
TONSL,6607,6,0
ICA1L,8151,6,0
PRRC2A,6893,6,0
EIF4E,11523,6,0
SGSM3,4218,5,0
RP5-940J5.6,2196,5,0
WDR13,5469,5,0
EDC4,5267,5,0
MAGED4B,3230,5,0
NT5DC3,7207,5,0
ILVBL,4248,5,0
MKNK2,4093,5,0
PDHB,4459,5,0
SVOP,6813,5,0
FBXO48,5666,5,0
CATIP,2383,5,0
P2RX7,5161,5,0
TCEANC2,10436,5,0
SYAP1,6129,5,0
COQ4,3127,5,0
RP5-1065J22.8,2888,5,0
ALDH3B1,5884,5,0
TMEM127,6266,5,0
RPL9,2153,5,0
BPIFB2,1898,5,0
SLC33A1,9217,5,0
LINC01207,3123,5,0
SNRNP70,3221,5,0
YEATS2,6506,5,0
CECR1,4505,5,0
FAM163A,2909,5,0
EMX2OS,7280,5,0
LRRC41,4455,5,0
LINC01521,1943,5,0
SPTBN1,10226,5,0
APBA3,4250,5,0
POR,2532,5,0
RPL35,785,5,0
FUS,5119,5,0
CSF3R,6074,5,0
TMEM55B,3453,5,0
SLC24A4,9950,5,0
ALDH6A1,5499,5,0
IRF2BP2,4663,5,0
C12orf49,8404,5,0
UBC,3745,5,0
ABCD4,3008,5,0
PSMA6,4730,5,0
GREM1,14606,5,0
MTRNR2L12,1049,5,0
ALG14,9367,5,0
CLN8,7160,5,0
FLRT2,33679,5,0
PGM2L1,8515,5,0
HDAC2,9874,5,0
MED9,3351,5,0
ST8SIA5,13761,5,0
NKD1,8595,5,0
BSDC1,4599,5,0
NDUFB5,4046,5,0
ZNF268,13475,5,0
GMPPA,4942,5,0
ZNRD1,3674,5,0
PEG3,8723,5,0
SPHK1,2502,5,0
GRINA,1968,5,0
ZFP82,5718,5,0
FAM71F2,5749,5,0
KIAA0391,6118,5,0
MAGED4,3015,5,0
CSNK1D,6094,5,0
KAT7,9644,5,0
C12orf65,3733,5,0
COA7,4005,5,0
WNK1,11804,5,0
NEU4,3013,5,0
NOL9,6649,5,0
OSBPL9,4520,5,0
ZNF101,4627,5,0
KCNJ6,19645,5,0
OPRD1,9345,5,0
FAM177A1,3395,5,0
AC024592.9,1188,5,0
HP,3024,5,0
ATP11A,8858,5,0
COLEC12,5742,5,0
PLEKHG2,8132,5,0
LYRM4,7312,5,0
SRSF5,3044,5,0
GOSR1,6039,5,0
PMPCA,3341,5,0
ATP6AP1,4515,5,0
LYRM7,6351,5,0
PGC,1371,5,0
SLC12A6,7286,5,0
DVL1,3239,5,0
PSME2,2754,5,0
PCK2,2505,5,0
CS,3057,5,0
PNPLA2,2726,5,0
RPL7L1,4476,5,0
AP1G2,3298,5,0
CTA-204B4.2,2231,5,0
LINC01359,2804,5,0
LAT,2443,5,0
GPX2,1134,5,0
C19orf60,2465,5,0
PDK1,14193,4,0
FKBP10,2826,4,0
SDR42E1,11566,4,0
TM4SF1,3115,4,0
TSPAN14,16183,4,0
MARK2,4728,4,0
WDR12,8100,4,0
H6PD,9146,4,0
AES,3274,4,0
BHLHE40-AS1,2355,4,0
ZNF490,4237,4,0
UBA52,2845,4,0
DLGAP1-AS2,2261,4,0
OXA1L,2971,4,0
KLC1,15091,4,0
ZNF512,3703,4,0
FOXP4,5948,4,0
POM121,7011,4,0
TNFRSF12A,1678,4,0
DCTN1,5414,4,0
AC009120.11,1460,4,0
FBXL20,10388,4,0
WBP2,3718,4,0
HELB,12866,4,0
ZNF154,5687,4,0
SERPINA5,2337,4,0
NPFFR1,8921,4,0
BOK,2657,4,0
TBXA2R,2608,4,0
ARPC2,2226,4,0
ERCC1,3828,4,0
PFKL,6007,4,0
OS9,3870,4,0
CTBP1,4250,4,0
MTPAP,5601,4,0
HNF1A-AS1,2455,4,0
EEF1D,3718,4,0
RPL3,2108,4,0
MRPS18B,1610,4,0
GLTSCR2,4185,4,0
CEP250,15703,4,0
PXMP4,5684,4,0
MPV17L,5820,4,0
TOMM40,3415,4,0
GP9,889,4,0
IBA57,9815,4,0
SRRM2,9353,4,0
TRIM41,7015,4,0
BDH1,7976,4,0
DACT3,3085,4,0
APOB,14121,4,0
NEK4,6057,4,0
RP5-1139I1.1,2907,4,0
ACD,2526,4,0
ATP5H,2191,4,0
HIP1,8013,4,0
PRPF8,7445,4,0
AC098823.3,2609,4,0
KANK1,7193,4,0
TNRC6B,18279,4,0
RHBG,2424,4,0
DAND5,1877,4,0
SLITRK5,21103,4,0
CEP76,3309,4,0
DNAJC27-AS1,4660,4,0
MEFV,3710,4,0
SHMT2,3416,4,0
ATL3,7135,4,0
MEGF8,11034,4,0
NPAS2,7983,4,0
NFAT5,14219,4,0
LRRC74B,4803,4,0
RPP14,7985,4,0
DHODH,4824,4,0
LIMK1,3374,4,0
B2M,2329,4,0
TTC31,4025,4,0
MLKL,3882,4,0
EIF3G,1522,4,0
TTF2,9462,4,0
KIAA0930,8119,4,0
SIAE,5583,4,0
SLC35E1,5099,4,0
PSD4,11234,4,0
GPRC5A,7362,4,0
JPX,2194,4,0
FAM179A,12691,4,0
POLR1A,12749,4,0
DUS1L,4456,4,0
AP000437.3,2085,4,0
LINC00176,4303,4,0
DDR1-AS1,3994,4,0
NTMT1,1562,4,0
COTL1,5330,4,0
CDKL5,12533,4,0
GREB1,8484,4,0
DNAAF1,4708,4,0
CSNK2A1,4416,4,0
VCL,7995,4,0
PGBD4,6612,4,0
ZFYVE21,4453,4,0
CTSB,3875,4,0
FBLIM1,3695,4,0
RPL15,2835,4,0
STX16-NPEPL1,3433,4,0
F5,7039,4,0
SHANK3,7394,4,0
SH3BP2,9211,4,0
EIF4G1,5667,4,0
NOTUM,2329,4,0
P2RX5-TAX1BP3,5905,4,0
ST20-AS1,4223,4,0
SFXN2,6866,4,0
RP5-1092A3.4,1945,4,0
SEPW1,2503,4,0
NEU3,6728,4,0
U91328.19,4130,4,0
MATR3,7306,4,0
SLC25A45,7118,4,0
PAAF1,4994,4,0
STX16,4937,4,0
SCO1,9612,4,0
AP4S1,4595,4,0
EPS8L2,3844,4,0
SLC6A4,6604,4,0
KIAA1919,5958,4,0
AC138969.4,4514,4,0
PVT1,1699,4,0
P3H4,2791,4,0
AC008985.1,2239,4,0
MTHFD2,4456,4,0
SLX4,7307,4,0
EIF4A3,3593,4,0
TLE3,7809,4,0
TRIM65,3439,4,0
NAGPA,3286,4,0
TMEM236,5464,4,0
TAB3,7987,4,0
SFI1,5250,4,0
HAP1,5683,4,0
UBXN6,4598,4,0
SSBP2,8780,4,0
MTFMT,2734,4,0
C17orf75,4581,4,0
DDX41,2949,4,0
SLC25A25-AS1,6391,4,0
LINC00265,3049,4,0
PRND,3980,4,0
NLN,8661,4,0
PPM1G,3752,4,0
ARFIP2,3846,4,0
TARDBP,5367,4,0
ZNF687,5378,4,0
SH3PXD2A,11468,4,0
CD74,1727,4,0
MCUR1,5471,4,0
SF3B3,9720,4,0
SPCS1,4254,4,0
PLEKHA5,6487,4,0
AC007308.6,2400,4,0
LINC01012,2771,4,0
ARID1B,9639,4,0
TMOD3,8255,4,0
RF00030_RNase_MRP,264,3,0
TCOF1,5240,3,0
CPEB2,6878,3,0
NLGN2,4642,3,0
TIMM44,2227,3,0
ERGIC1,5687,3,0
GTF2I,4548,3,0
LNPEP,12752,3,0
GGA2,5973,3,0
NNT-AS1,4769,3,0
GDPGP1,5323,3,0
UNC50,2172,3,0
GNL3L,2357,3,0
U2AF1L4,2582,3,0
APBB2,8972,3,0
HLA-C,1880,3,0
TUBG2,1776,3,0
HM13,3932,3,0
FADS3,5314,3,0
SNRPD1,4909,3,0
DVL3,5254,3,0
GPC3,2568,3,0
ANAPC5,6149,3,0
CHP1,3329,3,0
LL22NC03-2H8.5,3293,3,0
ZFHX3,16064,3,0
LSM8,4030,3,0
GTF2H5,7481,3,0
SREK1,9353,3,0
HNRNPA3,5688,3,0
ZIM2,2253,3,0
USP15,14950,3,0
UBAC2,2525,3,0
B4GALNT1,5580,3,0
U73166.2,2625,3,0
LLPH,7746,3,0
MLXIPL,3278,3,0
C16orf54,2585,3,0
SLC4A8,11824,3,0
DCTN5,11011,3,0
OLMALINC,2551,3,0
ABCB9,6051,3,0
ZYG11B,8093,3,0
MPST,5872,3,0
TIAL1,5072,3,0
KDM2B,6676,3,0
PSMG4,4603,3,0
GDAP2,8828,3,0
AL049794.1,1864,3,0
GALNS,5682,3,0
SLC31A1,4744,3,0
PLLP,7578,3,0
MAPK1IP1L,6480,3,0
LIME1,2410,3,0
ZNF619,4153,3,0
TMEM131,7476,3,0
RPS26,1204,3,0
RPS27,625,3,0
PREB,3057,3,0
CBX5,11528,3,0
APOC2,880,3,0
APOC3,604,3,0
CD59,3716,3,0
TP53I13,2468,3,0
CHID1,3537,3,0
KXD1,2738,3,0
F2RL2,3429,3,0
OAZ2,7102,3,0
RPL6,2008,3,0
WFDC1,4177,3,0
TMEM65,9029,3,0
BPIFB6,1670,3,0
CYP1A2,2728,3,0
FIS1,1005,3,0
ZNF785,3282,3,0
IKBKAP,5905,3,0
OTUD7B,8872,3,0
FTH1,1229,3,0
KLHL8,5621,3,0
ZDHHC11B,2733,3,0
PLBD2,4800,3,0
NKAP,5963,3,0
CIRBP,3528,3,0
SRCAP,11754,3,0
CEBPA,2631,3,0
MAP3K13,9876,3,0
CERS2,2544,3,0
ZFAND2B,2021,3,0
HIF3A,5852,3,0
MGRN1,6425,3,0
HAMP,2624,3,0
ZNF7,5641,3,0
OCRL,5162,3,0
C4orf32,8901,3,0
AVL9,7937,3,0
GPR126,7026,3,0
FCF1,4341,3,0
PCK1,5074,3,0
KRT8,2862,3,0
ZNF813,6151,3,0
NEK9,8310,3,0
MRPS24,1727,3,0
ZNHIT1,3958,3,0
PEG10,6618,3,0
ATP5S,10212,3,0
ATP5O,2839,3,0
CPM,6655,3,0
NBPF9,5835,3,0
SPATA33,3339,3,0
CEACAM19,3278,3,0
TCF23,4882,3,0
ACLY,4339,3,0
AC144449.1,1022,3,0
JADRR,1721,3,0
KIF6,9082,3,0
BAG6,3815,3,0
EIF3B,3745,3,0
TBC1D24,6578,3,0
ZNF354B,2802,3,0
WDR83OS,2562,3,0
FLJ40194,2317,3,0
BCKDK,2558,3,0
AC108676.1,2969,3,0
CARD9,4574,3,0
SLC7A1,7347,3,0
FUT1,4246,3,0
PLXND1,7094,3,0
SCD5,3101,3,0
MT1X,1727,3,0
MT1E,729,3,0
CHRM5,5410,3,0
AC025335.1,2529,3,0
RNF220,3835,3,0
FGF13,19519,3,0
NOS1,12283,3,0
LY6G5B,2654,3,0
SVIP,4541,3,0
THEM4,2406,3,0
NCKAP1,20347,3,0
CAPZB,2068,3,0
SGSH,5562,3,0
LL22NC03-2H8.4,524,3,0
PPP1R37,5943,3,0
GCN1L1,8675,3,0
TRAF3IP2,5128,3,0
SETD1A,6903,3,0
DCAF11,4299,3,0
DCAF17,5828,3,0
TRMT10B,2281,3,0
UROD,1848,3,0
AC002306.1,937,3,0
TRIM71,8685,3,0
MMADHC,1726,3,0
C9orf9,2536,3,0
PRDX2,1717,3,0
GALT,2566,3,0
CSNK2B,2487,3,0
MARVELD2,4400,3,0
SETD4,4272,3,0
CTC-490E21.11,1881,3,0
ST8SIA1,9714,3,0
DGKH,17261,3,0
MRRF,9826,3,0
UGGT1,10650,3,0
WHAMM,5101,3,0
ITIH2,3193,3,0
DUXAP8,4136,3,0
YME1L1,4127,3,0
UTP6,4392,3,0
MAP2K7,3430,3,0
FAM169B,3298,3,0
EIF1AD,2887,3,0
LLNLR-246C6.1,1769,3,0
ACOT11,6369,3,0
SLC37A4,5862,3,0
GTDC1,10514,3,0
NDUFA9,8363,3,0
S100A1,2621,3,0
GNE,5298,3,0
GNPTG,2400,3,0
POLN,3978,3,0
FAM126A,13177,3,0
SREBF2,5699,3,0
SREBF1,4653,3,0
SPNS1,2253,3,0
PIGP,6998,3,0
NRDE2,14208,3,0
WDR55,4080,3,0
WDR59,5898,3,0
RPL31,2328,3,0
ATF4,2019,3,0
GFPT1,8703,3,0
B4GALNT2,8657,3,0
AMD1,4745,3,0
AC004019.13,1838,3,0
HINFP,3486,3,0
REL,11255,3,0
ARSG,4642,3,0
HEXA,6909,3,0
CCDC85C,16393,3,0
FRG1B,1029,3,0
CTC-425O23.5,4765,3,0
CMBL,2335,3,0
ZNF714,6812,3,0
FDPS,2017,3,0
ZNF43,5584,3,0
SULT1A2,1991,3,0
CDC42,2274,3,0
VIMP,2444,3,0
SLC16A1,4374,3,0
C4orf29,5450,3,0
LRCH4,4754,3,0
LRCH3,7394,3,0
RNF41,5596,3,0
LA16c-380H5.1,3385,3,0
IL17RD,8720,3,0
CD320,1729,3,0
ZNF37A,8738,3,0
PTAFR,4491,3,0
TPST2,5697,3,0
LIX1L,3975,3,0
NF2,6025,3,0
MEF2BNB,3698,3,0
TNFSF14,4336,3,0
LAMC1,7889,3,0
PDLIM5,6219,3,0
PDLIM7,1904,3,0
FTL,878,3,0
LL22NC03-22D1.1,29026,3,0
GAN,15244,3,0
KCNAB2,4273,3,0
PCED1B-AS1,2494,3,0
ASB16-AS1,2213,3,0
WTIP,13665,3,0
SCMH1,3323,3,0
KATNB1,3854,3,0
PCYOX1,5345,3,0
ACSL3,5679,3,0
E2F4,2615,3,0
SLC26A1,3660,3,0
C21orf62,3889,3,0
ARHGEF1,3439,3,0
NETO2,7481,3,0
KMT2D,19419,3,0
SLC5A9,3769,3,0
NBR1,4656,3,0
MED28,10868,3,0
MED22,4367,3,0
NECAB3,2142,3,0
ACADVL,2352,3,0
CSRP1,8475,3,0
RBM19,4422,3,0
NFE2L1,4774,3,0
IAH1,2793,3,0
MLLT10,5126,3,0
DDX19A,5007,3,0
TMEM213,4167,3,0
COX4I1,3946,3,0
MCF2L,6580,3,0
A1BG,2301,3,0
DNAJC7,2564,3,0
CDK5RAP2,6235,3,0
BAX,1358,3,0
AHNAK,18787,3,0
MICAL1,4381,3,0
PITPNM2,6785,3,0
CPNE1,2147,3,0
ZNF331,5042,3,0
SECISBP2,5405,3,0
THUMPD2,3148,3,0
PTPRS,7347,3,0
PTPRF,7727,3,0
IFT22,2272,3,0
RNASEH1,2120,3,0
LRWD1,5491,3,0
SNX22,3713,3,0
LINC00467,3508,3,0
INO80C,3245,3,0
LRP10,6886,3,0
BBS2,6073,3,0
MAZ,2698,3,0
ERI3,1684,3,0
PEX13,4470,3,0
GAS5,1698,3,0
C22orf39,3350,3,0
IDO2,4264,3,0
CTC-459F4.1,3666,3,0
UBXN1,2073,3,0
ZNF774,5613,3,0
AMBP,1434,3,0
COG2,7836,3,0
PCBP4,2599,3,0
PCBP2,3077,3,0
BMS1P4,1913,3,0
PLEKHD1,4865,3,0
CRACR2B,2440,3,0
ZMYND8,5542,3,0
EXOC3L4,2341,3,0
THOC7,990,3,0
LETM1,5462,3,0
PPM1K,6484,3,0
C3,5263,3,0
HIF1AN,13011,3,0
STARD3,3451,3,0
DDX11,4182,3,0
BRAT1,5360,3,0
RBMS2,8382,3,0
BEST1,5772,3,0
SPC24,2315,3,0
RPS27L,6434,3,0
OCLN,6438,3,0
SNHG20,2143,3,0
TSPAN3,6467,3,0
ZNF444,5565,3,0
TTL,14269,3,0
EMG1,4898,3,0
RPS3A,1526,3,0
ZNF197,4299,3,0
CNNM3,3447,3,0
CSNK2B-LY6G5B-562,2487,3,0
PI4KA,6752,3,0
RPL10A,1069,3,0
BTBD8,1616,3,0
AF001548.4,1969,2,0
ASS1,1973,2,0
CHST6,7957,2,0
ITGAE,3858,2,0
IGF2R,14044,2,0
OGFR,4506,2,0
SDK1,10397,2,0
HLA-DQB1,4986,2,0
GCNT3,4933,2,0
HYAL1,2517,2,0
XX-FW83563B9.5,1939,2,0
ETHE1,1052,2,0
GGA3,5156,2,0
VPS13C,14579,2,0
TMEM168,7470,2,0
KRR1,10118,2,0
C8orf49,1968,2,0
SMPD3,5453,2,0
MCL1,3932,2,0
SORBS1,7354,2,0
AP006285.2,2175,2,0
AP006285.1,2175,2,0
UFD1L,5038,2,0
ILF3,6119,2,0
ADAM10,11431,2,0
FAM151B,2185,2,0
CDC42EP1,2181,2,0
MEIS1,5111,2,0
ASXL1,7038,2,0
TRAK1,5536,2,0
SRCIN1,7058,2,0
ZNF419,5542,2,0
ABLIM1,7690,2,0
NRBP1,2887,2,0
KLHL12,3359,2,0
DHRS13,2037,2,0
EHMT1,7842,2,0
EHMT2,4455,2,0
ACTR3B,5543,2,0
ZFP42,2651,2,0
SLC25A34,2986,2,0
TUBA1B,3198,2,0
PGPEP1,7092,2,0
MOBP,5675,2,0
AGMO,2475,2,0
PPA1,3524,2,0
EIF4EBP2,7257,2,0
AP001187.9,3647,2,0
DDA1,4078,2,0
YBX3,6393,2,0
NCOA6,9311,2,0
ZNF496,9243,2,0
MTRNR2L4,1762,2,0
NID1,5864,2,0
FANCA,5451,2,0
TRABD2A,3895,2,0
PDP2,7146,2,0
VAV2,5101,2,0
SYNGR2,3036,2,0
DYNLT1,2891,2,0
YWHAH,1879,2,0
YWHAB,3109,2,0
ZNF75A,3989,2,0
PPIF,2190,2,0
TDP2,2120,2,0
SSNA1,1170,2,0
AMT,3272,2,0
ATG9B,4572,2,0
MXRA7,5661,2,0
AICDA,2819,2,0
TCTA,2146,2,0
HNRNPL,3094,2,0
RCE1,2719,2,0
UVSSA,4819,2,0
SCN9A,9786,2,0
HERC4,6391,2,0
MKNK1,3408,2,0
MAP4,8920,2,0
